,number,value,datetime_start,datetime_complete,duration,params_basis_window,params_coint_window,params_horizon,params_n_estimators,params_ofi_window,params_threshold,params_vol_window,state
169,169,0.0,2025-11-07 19:37:46.601612,2025-11-07 19:37:50.385382,0 days 00:00:03.783770,195,140,49,978,115,0.034729672180581525,69,COMPLETE
170,170,0.0,2025-11-07 19:37:50.385751,2025-11-07 19:37:53.428950,0 days 00:00:03.043199,182,181,43,631,164,0.03834660589261392,176,COMPLETE
171,171,0.0,2025-11-07 19:37:53.429150,2025-11-07 19:37:56.943213,0 days 00:00:03.514063,166,105,58,938,120,0.03694127248618943,116,COMPLETE
172,172,0.0,2025-11-07 19:37:56.943441,2025-11-07 19:38:00.229942,0 days 00:00:03.286501,102,87,60,865,168,0.03593447591063631,104,COMPLETE
173,173,0.0,2025-11-07 19:38:00.230208,2025-11-07 19:38:03.768273,0 days 00:00:03.538065,150,69,41,887,195,0.037842712244055346,88,COMPLETE
174,174,0.0,2025-11-07 19:38:03.768569,2025-11-07 19:38:07.113690,0 days 00:00:03.345121,159,103,59,845,152,0.03733141425888954,110,COMPLETE
175,175,0.0,2025-11-07 19:38:07.113888,2025-11-07 19:38:10.811912,0 days 00:00:03.698024,174,63,59,948,102,0.04953283027611048,121,COMPLETE
176,176,0.0,2025-11-07 19:38:10.812194,2025-11-07 19:38:14.371901,0 days 00:00:03.559707,114,91,51,971,108,0.038934071734845345,65,COMPLETE
177,177,0.0,2025-11-07 19:38:14.372100,2025-11-07 19:38:19.905541,0 days 00:00:05.533441,130,72,56,997,185,0.03547641557586937,129,COMPLETE
178,178,0.0,2025-11-07 19:38:19.905900,2025-11-07 19:38:23.835299,0 days 00:00:03.929399,72,97,32,919,127,0.04135323350217181,92,COMPLETE
179,179,0.0,2025-11-07 19:38:23.835562,2025-11-07 19:38:25.177821,0 days 00:00:01.342259,180,84,40,100,174,0.03665120669591371,139,COMPLETE
180,180,0.0,2025-11-07 19:38:25.178028,2025-11-07 19:38:28.311542,0 days 00:00:03.133514,186,137,42,809,130,0.03807409879196866,99,COMPLETE
181,181,0.0,2025-11-07 19:38:28.311807,2025-11-07 19:38:31.057193,0 days 00:00:02.745386,170,132,35,495,190,0.03419746808905384,172,COMPLETE
182,182,0.0,2025-11-07 19:38:31.057393,2025-11-07 19:38:33.426256,0 days 00:00:02.368863,84,143,36,527,159,0.03927842505198111,150,COMPLETE
183,183,0.0,2025-11-07 19:38:33.426458,2025-11-07 19:38:35.838293,0 days 00:00:02.411835,138,117,34,575,194,0.049134799886454784,155,COMPLETE
184,184,0.0,2025-11-07 19:38:35.838494,2025-11-07 19:38:38.276668,0 days 00:00:02.438174,141,193,37,460,181,0.04692850943886719,188,COMPLETE
185,185,0.0,2025-11-07 19:38:38.276869,2025-11-07 19:38:41.231407,0 days 00:00:02.954538,119,174,38,698,192,0.032967047446137,144,COMPLETE
186,186,0.0,2025-11-07 19:38:41.231643,2025-11-07 19:38:42.821338,0 days 00:00:01.589695,110,149,17,212,122,0.036283166552535225,184,COMPLETE
187,187,0.0,2025-11-07 19:38:42.821537,2025-11-07 19:38:45.860948,0 days 00:00:03.039411,154,185,13,761,78,0.03382428276105365,81,COMPLETE
188,188,0.0,2025-11-07 19:38:45.861172,2025-11-07 19:38:47.351123,0 days 00:00:01.489951,135,136,47,142,94,0.03568801060921826,161,COMPLETE
189,189,0.0,2025-11-07 19:38:47.351327,2025-11-07 19:38:48.772231,0 days 00:00:01.420904,131,152,44,168,197,0.03508422059284957,125,COMPLETE
190,190,0.0,2025-11-07 19:38:48.772409,2025-11-07 19:38:50.500017,0 days 00:00:01.727608,141,129,26,260,116,0.03850664576109217,151,COMPLETE
191,191,0.0,2025-11-07 19:38:50.500224,2025-11-07 19:38:52.532472,0 days 00:00:02.032248,177,77,21,382,157,0.04260814061096511,138,COMPLETE
192,192,0.0,2025-11-07 19:38:52.532673,2025-11-07 19:38:56.177500,0 days 00:00:03.644827,70,81,33,905,60,0.043370992933141006,135,COMPLETE
193,193,0.0,2025-11-07 19:38:56.177757,2025-11-07 19:38:58.694873,0 days 00:00:02.517116,172,88,52,511,143,0.04181346926586698,141,COMPLETE
194,194,0.0,2025-11-07 19:38:58.695099,2025-11-07 19:39:00.869291,0 days 00:00:02.174192,166,102,41,419,163,0.04224638019388074,169,COMPLETE
195,195,0.0,2025-11-07 19:39:00.869521,2025-11-07 19:39:02.443690,0 days 00:00:01.574169,183,94,19,200,171,0.04199228392510861,146,COMPLETE
196,196,0.0,2025-11-07 19:39:02.443870,2025-11-07 19:39:05.772364,0 days 00:00:03.328494,191,145,23,822,136,0.04278861919112189,72,COMPLETE
197,197,0.0,2025-11-07 19:39:05.772567,2025-11-07 19:39:11.324734,0 days 00:00:05.552167,127,139,26,957,179,0.03700775497144899,134,COMPLETE
198,198,0.0,2025-11-07 19:39:11.324999,2025-11-07 19:39:13.041572,0 days 00:00:01.716573,66,107,28,224,125,0.045685974053355075,165,COMPLETE
199,199,0.0,2025-11-07 19:39:13.041830,2025-11-07 19:39:15.385293,0 days 00:00:02.343463,122,99,35,493,146,0.03202315902106781,159,COMPLETE
